,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,LSTM,200 layers,0.9827586206896551,1.0,0.9642857142857143,0.9818181818181818,0.967741935483871,1.0,0.9836065573770492
2,LSTM,100 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,LSTM,50 layers,0.9827586206896551,1.0,0.9642857142857143,0.9818181818181818,0.967741935483871,1.0,0.9836065573770492
4,CNN with Attention,"32 filters, kernel size 5",0.9482758620689655,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.9354838709677419,0.9666666666666667,0.9508196721311476
5,CNN with Attention,"64 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,CNN with Attention,"128 filters, kernel size 5",0.9827586206896551,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9666666666666667,0.983050847457627
7,CNN with Attention,"256 filters, kernel size 5",0.9655172413793104,0.9333333333333333,1.0,0.9655172413793104,1.0,0.9333333333333333,0.9655172413793104
8,CNN with Attention,"64 filters, kernel size 3",1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,CNN with Attention,"128 filters, kernel size 3",0.9827586206896551,1.0,0.9642857142857143,0.9818181818181818,0.967741935483871,1.0,0.9836065573770492
10,CNN with Attention,"256 filters, kernel size 3",0.9827586206896551,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9666666666666667,0.983050847457627
11,Random Forest,50 Estimators,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
12,Random Forest,25 Estimators,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
13,Random Forest,20 Estimators,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
14,Random Forest,10 Estimators,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
15,Random Forest,5 Estimators,0.5517241379310345,0.53125,0.6071428571428571,0.5666666666666667,0.5769230769230769,0.5,0.5357142857142857
16,RNN,200 units,0.9482758620689655,1.0,0.8928571428571429,0.9433962264150945,0.9090909090909091,1.0,0.9523809523809523
17,RNN,150 units,0.9655172413793104,1.0,0.9285714285714286,0.962962962962963,0.9375,1.0,0.967741935483871
18,RNN,100 units,0.9655172413793104,1.0,0.9285714285714286,0.962962962962963,0.9375,1.0,0.967741935483871
19,RNN,50 units,0.9655172413793104,1.0,0.9285714285714286,0.962962962962963,0.9375,1.0,0.967741935483871
20,CNN,"64 filters, kernel size 3",0.8448275862068966,0.8518518518518519,0.8214285714285714,0.8363636363636364,0.8387096774193549,0.8666666666666667,0.8524590163934426
21,CNN,"128 filters, kernel size 3",0.8448275862068966,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.8620689655172413,0.8333333333333334,0.847457627118644
22,CNN,"256 filters, kernel size 3",0.8793103448275862,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.896551724137931,0.8666666666666667,0.8813559322033899
23,CNN,"64 filters, kernel size 5",0.8793103448275862,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.896551724137931,0.8666666666666667,0.8813559322033899
24,CNN,"128 filters, kernel size 5",0.9310344827586207,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9333333333333333,0.9333333333333333,0.9333333333333333
25,CNN,"256 filters, kernel size 5",0.896551724137931,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.9,0.9,0.9
