,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
1,LSTM,200 layers,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
2,LSTM,100 layers,0.8457142857142858,0.8682634730538922,0.9666666666666667,0.9148264984227129,0.375,0.12,0.18181818181818182
3,LSTM,50 layers,0.8457142857142858,0.8596491228070176,0.98,0.9158878504672898,0.25,0.04,0.06896551724137932
4,CNN with Attention,"32 filters, kernel size 7",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
5,CNN with Attention,"32 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
6,CNN with Attention,"32 filters, kernel size 3",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
7,CNN with Attention,"64 filters, kernel size 7",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
8,CNN with Attention,"64 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
9,CNN with Attention,"64 filters, kernel size 3",0.84,0.88125,0.94,0.9096774193548387,0.4,0.24,0.3
10,CNN with Attention,"128 filters, kernel size 7",0.84,0.88125,0.94,0.9096774193548387,0.4,0.24,0.3
11,CNN with Attention,"128 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
12,CNN with Attention,"128 filters, kernel size 3",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
13,CNN with Attention,"256 filters, kernel size 7",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
14,CNN with Attention,"256 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
15,CNN with Attention,"256 filters, kernel size 3",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
16,RNN,200 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
17,RNN,150 units,0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
18,RNN,100 units,0.8457142857142858,0.8819875776397516,0.9466666666666667,0.9131832797427653,0.42857142857142855,0.24,0.30769230769230765
19,RNN,50 units,0.84,0.88125,0.94,0.9096774193548387,0.4,0.24,0.3
20,CNN,"32 filters, kernel size 7",0.8457142857142858,0.8819875776397516,0.9466666666666667,0.9131832797427653,0.42857142857142855,0.24,0.30769230769230765
21,CNN,"32 filters, kernel size 5",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
22,CNN,"32 filters, kernel size 3",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
23,CNN,"64 filters, kernel size 7",0.84,0.88125,0.94,0.9096774193548387,0.4,0.24,0.3
24,CNN,"64 filters, kernel size 5",0.8457142857142858,0.8727272727272727,0.96,0.9142857142857144,0.4,0.16,0.22857142857142856
25,CNN,"64 filters, kernel size 3",0.8457142857142858,0.8727272727272727,0.96,0.9142857142857144,0.4,0.16,0.22857142857142856
26,CNN,"128 filters, kernel size 7",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
27,CNN,"128 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
28,CNN,"128 filters, kernel size 3",0.8571428571428571,0.8654970760233918,0.9866666666666667,0.9221183800623054,0.5,0.08,0.13793103448275865
29,CNN,"256 filters, kernel size 7",0.8514285714285714,0.8734939759036144,0.9666666666666667,0.9177215189873418,0.4444444444444444,0.16,0.23529411764705882
30,CNN,"256 filters, kernel size 5",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
31,CNN,"256 filters, kernel size 3",0.84,0.88125,0.94,0.9096774193548387,0.4,0.24,0.3
